Gene name	Ensembl Canonical	Gene stable ID
MT-ND1	1	ENSG00000198888
MT-ND2	1	ENSG00000198763
MT-CO1	1	ENSG00000198804
MT-CO2	1	ENSG00000198712
MT-ATP8	1	ENSG00000228253
MT-ATP6	1	ENSG00000198899
MT-CO3	1	ENSG00000198938
MT-ND3	1	ENSG00000198840
MT-ND4L	1	ENSG00000212907
MT-ND4	1	ENSG00000198886
MT-ND5	1	ENSG00000198786
MT-ND6	1	ENSG00000198695
MT-CYB	1	ENSG00000198727
	1	ENSG00000278704
	1	ENSG00000278633
	1	ENSG00000273748
	1	ENSG00000277400
	1	ENSG00000276256
MAFIP	1	ENSG00000274847
	1	ENSG00000277630
		ENSG00000277630
		ENSG00000271254
	1	ENSG00000277196
	1	ENSG00000271254
		ENSG00000277196
	1	ENSG00000278817
	1	ENSG00000276017
	1	ENSG00000268674
	1	ENSG00000277475
	1	ENSG00000275063
	1	ENSG00000277856
	1	ENSG00000276345
	1	ENSG00000274175
	1	ENSG00000278384
	1	ENSG00000273554
		ENSG00000273554
	1	ENSG00000275869
	1	ENSG00000277836
FAM20C	1	ENSG00000288499
	1	ENSG00000288431
		ENSG00000288431
ECSCR	1	ENSG00000288297
SMIM33	1	ENSG00000288274
STING1		ENSG00000288243
STING1	1	ENSG00000288243
		ENSG00000288319
	1	ENSG00000288319
OR9G1	1	ENSG00000261958
OR9G9	1	ENSG00000262191
OR9G4	1	ENSG00000262647
PRY	1	ENSG00000169789
GRK1	1	ENSG00000288263
USP9Y		ENSG00000114374
USP9Y	1	ENSG00000114374
PRY2	1	ENSG00000169807
EIF1AY	1	ENSG00000198692
EIF1AY		ENSG00000198692
BPY2		ENSG00000183753
BPY2	1	ENSG00000183753
TOLLIP	1	ENSG00000291426
TOLLIP		ENSG00000291426
BRSK2		ENSG00000291428
BRSK2	1	ENSG00000291428
DUSP8		ENSG00000291431
DUSP8	1	ENSG00000291431
KRTAP5-1	1	ENSG00000291433
KRTAP5-2	1	ENSG00000291434
KRTAP5-3	1	ENSG00000291435
KRTAP5-4	1	ENSG00000291440
KRTAP5-5	1	ENSG00000291443
MOB2	1	ENSG00000291442
MOB2		ENSG00000291442
TSPY10	1	ENSG00000236424
TSPY10		ENSG00000236424
TSPY1	1	ENSG00000258992
TSPY1		ENSG00000258992
RBMY1D	1	ENSG00000244395
RBMY1D		ENSG00000244395
HSFY2		ENSG00000169953
HSFY2	1	ENSG00000169953
TSPY8	1	ENSG00000291455
TSPY8		ENSG00000291455
TSPY4	1	ENSG00000291458
TSPY4		ENSG00000291458
TSPY9	1	ENSG00000291459
KDM5D	1	ENSG00000012817
KDM5D		ENSG00000012817
HSFY1	1	ENSG00000172468
HSFY1		ENSG00000172468
TGIF2LY	1	ENSG00000176679
TGIF2LY		ENSG00000176679
RBMY1F	1	ENSG00000169800
RBMY1F		ENSG00000169800
CDY2A	1	ENSG00000182415
BPY2C	1	ENSG00000185894
BPY2C		ENSG00000185894
DAZ4		ENSG00000205916
DAZ4	1	ENSG00000205916
CDY2B	1	ENSG00000129873
SRY	1	ENSG00000184895
OR4C12	1	ENSG00000284255
OR4C45	1	ENSG00000292249
RPS4Y1	1	ENSG00000129824
RPS4Y1		ENSG00000129824
ZFY		ENSG00000067646
ZFY	1	ENSG00000067646
DDX3Y		ENSG00000067048
DDX3Y	1	ENSG00000067048
ADIPOR2	1	ENSG00000285070
CACNA2D4		ENSG00000284953
CACNA2D4	1	ENSG00000284953
LRTM2	1	ENSG00000285383
LRTM2		ENSG00000285383
DCP1B	1	ENSG00000284850
DCP1B		ENSG00000284850
UTY		ENSG00000183878
UTY	1	ENSG00000183878
CACNA1C	1	ENSG00000285479
CACNA1C		ENSG00000285479
TMSB4Y	1	ENSG00000154620
VCY	1	ENSG00000129864
DAZ3	1	ENSG00000187191
DAZ3		ENSG00000187191
DAZ1	1	ENSG00000188120
DAZ1		ENSG00000188120
AMELY	1	ENSG00000099721
AMELY		ENSG00000099721
TBL1Y		ENSG00000092377
TBL1Y	1	ENSG00000092377
DAZ2		ENSG00000205944
DAZ2	1	ENSG00000205944
TSPY2		ENSG00000168757
TSPY2	1	ENSG00000168757
RBMY1E	1	ENSG00000242389
RBMY1E		ENSG00000242389
NLGN4Y		ENSG00000165246
SERTAD4	1	ENSG00000281230
NLGN4Y	1	ENSG00000165246
HHAT		ENSG00000280680
HHAT	1	ENSG00000280680
VCY1B	1	ENSG00000129862
RPS4Y2	1	ENSG00000280969
PCDH11Y		ENSG00000099715
PCDH11Y	1	ENSG00000099715
CDY1B		ENSG00000172352
CDY1B	1	ENSG00000172352
BPY2B		ENSG00000183795
BPY2B	1	ENSG00000183795
CDY1		ENSG00000172288
CDY1	1	ENSG00000172288
RBMY1J	1	ENSG00000226941
TSPY9	1	ENSG00000238074
RBMY1B	1	ENSG00000242875
RBMY1A1	1	ENSG00000234414
CARMIL3	1	ENSG00000284765
CPNE6	1	ENSG00000285221
CPNE6		ENSG00000285221
NRL		ENSG00000285493
NRL	1	ENSG00000285493
PCK2		ENSG00000285241
PCK2	1	ENSG00000285241
DCAF11		ENSG00000284796
DCAF11	1	ENSG00000284796
	1	ENSG00000284818
FITM1	1	ENSG00000285321
FITM1		ENSG00000285321
PSME1		ENSG00000284916
PSME1	1	ENSG00000284916
EMC9		ENSG00000285377
EMC9	1	ENSG00000285377
PSME2		ENSG00000284889
PSME2	1	ENSG00000284889
TSPY4		ENSG00000233803
RNF31		ENSG00000285152
TSPY4	1	ENSG00000233803
RNF31	1	ENSG00000285152
TSPY8		ENSG00000229549
TSPY8	1	ENSG00000229549
IRF9	1	ENSG00000285048
IRF9		ENSG00000285048
TSPY3	1	ENSG00000228927
REC8	1	ENSG00000285007
REC8		ENSG00000285007
TSPY3		ENSG00000228927
IPO4	1	ENSG00000285248
IPO4		ENSG00000285248
TM9SF1		ENSG00000285465
TM9SF1	1	ENSG00000285465
PPP2R3B	1	ENSG00000292327
PPP2R3B		ENSG00000292327
	1	ENSG00000285502
TSSK4	1	ENSG00000285140
TSSK4		ENSG00000285140
IL3RA	1	ENSG00000292332
IL3RA		ENSG00000292332
CHMP4A	1	ENSG00000285302
CHMP4A		ENSG00000285302
P2RY8	1	ENSG00000292333
P2RY8		ENSG00000292333
SLC25A6	1	ENSG00000292334
ASMT		ENSG00000292336
ASMT	1	ENSG00000292336
MDP1		ENSG00000285200
MDP1	1	ENSG00000285200
DHRSX	1	ENSG00000292338
DHRSX		ENSG00000292338
NEDD8-MDP1	1	ENSG00000285425
NEDD8	1	ENSG00000285246
ASMTL	1	ENSG00000292339
NEDD8		ENSG00000285246
ASMTL		ENSG00000292339
GMPR2		ENSG00000284752
AKAP17A	1	ENSG00000292343
AKAP17A		ENSG00000292343
PLCXD1		ENSG00000292344
PLCXD1	1	ENSG00000292344
GMPR2	1	ENSG00000284752
ZBED1		ENSG00000292345
ZBED1	1	ENSG00000292345
CD99		ENSG00000292348
TINF2		ENSG00000284915
TINF2	1	ENSG00000284915
CD99	1	ENSG00000292348
TGM1	1	ENSG00000285348
TGM1		ENSG00000285348
SHOX		ENSG00000292354
SHOX	1	ENSG00000292354
RABGGTA		ENSG00000285193
RABGGTA	1	ENSG00000285193
CSF2RA	1	ENSG00000292357
CSF2RA		ENSG00000292357
GTPBP6	1	ENSG00000292358
DHRS1		ENSG00000284868
DHRS1	1	ENSG00000284868
NOP9	1	ENSG00000285326
NOP9		ENSG00000285326
CIDEB		ENSG00000285199
CIDEB	1	ENSG00000285199
LTB4R2		ENSG00000285203
LTB4R2	1	ENSG00000285203
CRLF2	1	ENSG00000292363
CRLF2		ENSG00000292363
LTB4R		ENSG00000285456
LTB4R	1	ENSG00000285456
VAMP7	1	ENSG00000292366
VAMP7		ENSG00000292366
ADCY4	1	ENSG00000284814
ADCY4		ENSG00000284814
WASH6P	1	ENSG00000292372
IL9R	1	ENSG00000292373
RIPK3	1	ENSG00000285379
IL9R		ENSG00000292373
RIPK3		ENSG00000285379
NFATC4	1	ENSG00000285485
NFATC4		ENSG00000285485
DHRS4		ENSG00000284807
DHRS4	1	ENSG00000284807
DHRS4L2		ENSG00000292270
DHRS4L2	1	ENSG00000292270
LEUTX		ENSG00000280774
LEUTX	1	ENSG00000280774
DYRK1B	1	ENSG00000281320
DYRK1B		ENSG00000281320
FBL		ENSG00000280548
FBL	1	ENSG00000280548
PSMC4	1	ENSG00000281221
PSMC4		ENSG00000281221
ZNF546		ENSG00000281526
ZNF546	1	ENSG00000281526
ZNF780B		ENSG00000281601
ZNF780B	1	ENSG00000281601
ZNF780A		ENSG00000280568
ZNF780A	1	ENSG00000280568
FCGBP	1	ENSG00000281123
H3-4	1	ENSG00000285435
H2AC25	1	ENSG00000284841
H2BC26	1	ENSG00000285449
RNF187	1	ENSG00000285426
RHOU	1	ENSG00000284984
OBP2B		ENSG00000280584
OBP2B	1	ENSG00000280584
SURF6	1	ENSG00000281309
MED22		ENSG00000281022
MED22	1	ENSG00000281022
RPL7A	1	ENSG00000280858
RPL7A		ENSG00000280858
	1	ENSG00000283984
		ENSG00000283984
SURF1	1	ENSG00000280627
SURF1		ENSG00000280627
SURF2	1	ENSG00000281024
SURF4		ENSG00000280951
SURF4	1	ENSG00000280951
STKLD1	1	ENSG00000281245
REXO4		ENSG00000280706
REXO4	1	ENSG00000280706
ADAMTS13	1	ENSG00000281244
ADAMTS13		ENSG00000281244
CACFD1		ENSG00000280479
CACFD1	1	ENSG00000280479
SLC2A6	1	ENSG00000281165
SLC2A6		ENSG00000281165
ABO	1	ENSG00000281879
ABO		ENSG00000281879
FRG2		ENSG00000285063
FRG2	1	ENSG00000285063
FRG1		ENSG00000283153
FRG1	1	ENSG00000283153
	1	ENSG00000284383
		ENSG00000284383
	1	ENSG00000284496
		ENSG00000284496
	1	ENSG00000284262
		ENSG00000284262
	1	ENSG00000283767
		ENSG00000283767
	1	ENSG00000284210
		ENSG00000284210
	1	ENSG00000283884
		ENSG00000283884
	1	ENSG00000283955
		ENSG00000283955
	1	ENSG00000284025
		ENSG00000284025
	1	ENSG00000283878
		ENSG00000283878
	1	ENSG00000284181
		ENSG00000284181
	1	ENSG00000283820
		ENSG00000283820
DUX4L8	1	ENSG00000283363
DUX4	1	ENSG00000283949
DUX4		ENSG00000283949
NAT8	1	ENSG00000291479
TPRKB		ENSG00000291480
TPRKB	1	ENSG00000291480
DUSP11		ENSG00000291483
DUSP11	1	ENSG00000291483
GPR20	1	ENSG00000291465
C2orf78	1	ENSG00000291484
PTP4A3		ENSG00000291470
PTP4A3	1	ENSG00000291470
C8orf90		ENSG00000291474
C8orf90	1	ENSG00000291474
MROH5	1	ENSG00000291473
RPS6KA1		ENSG00000281877
RPS6KA1	1	ENSG00000281877
TNK1		ENSG00000283781
TNK1	1	ENSG00000283781
PLSCR3		ENSG00000284009
PLSCR3	1	ENSG00000284009
TMEM256	1	ENSG00000283771
TMEM256		ENSG00000283771
NLGN2		ENSG00000283859
NLGN2	1	ENSG00000283859
SPEM1	1	ENSG00000284598
SPEM2	1	ENSG00000283714
SPEM2		ENSG00000283714
SPEM3	1	ENSG00000284090
SPEM3		ENSG00000284090
TMEM102	1	ENSG00000284228
TMEM102		ENSG00000284228
FGF11		ENSG00000283903
FGF11	1	ENSG00000283903
CHRNB1	1	ENSG00000283946
CHRNB1		ENSG00000283946
ZBTB4	1	ENSG00000283868
ZBTB4		ENSG00000283868
SLC35G6	1	ENSG00000284515
POLR2A	1	ENSG00000284832
C6orf52		ENSG00000285312
C6orf52	1	ENSG00000285312
PAK1IP1	1	ENSG00000285226
TMEM14C	1	ENSG00000284936
